CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-09-02 08:32:16.9881736,C:\$Extend\$UsnJrnl:$J,C:\Windows\Temp\triage\C\$Extend\$J,60146904,3FE93030A4F1BEDE41F7EB82499E43D89C24EF17,True,2025-09-01 20:10:49.1924250,2025-09-01 20:10:49.1924250,2025-09-01 20:10:49.1924250,00:00:01.0173699
2025-09-02 08:32:17.0195635,C:\$Extend\$UsnJrnl:$Max,C:\Windows\Temp\triage\C\$Extend\$Max,32,0DE103B7CEF8FEA91D8974825528695F89B5763B,True,2025-09-01 20:10:49.1924250,2025-09-01 20:10:49.1924250,2025-09-01 20:10:49.1924250,00:00:00
2025-09-02 08:32:22.4740385,C:\$MFT,C:\Windows\Temp\triage\C\$MFT,143130624,75649E0EB13F5E96E23284E3EEA265B14ACE0FF7,True,2025-09-01 21:08:54.0003510,2025-09-01 21:08:54.0003510,2025-09-01 21:08:54.0003510,00:00:00.3126146
